episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,9.33e-01,9.33e-01,8.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.33e-01,9.33e-01,3.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.33e-01,9.33e-01,0.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,319,2.80e+00
2000,1000,100000,0.00e+00,0.00e+00,2.33e-01,2.33e-01,4.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.33e-01,2.33e-01,4.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,2.33e-01,2.33e-01,2.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,646,7.00e-01
3000,1500,150000,0.00e+00,0.00e+00,6.33e-01,6.33e-01,7.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,6.33e-01,6.33e-01,3.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,6.33e-01,6.33e-01,1.70,0.00e+00,0.00e+00,0.00e+00,3.33e-01,945,1.90e+00
4000,2000,200000,0.00e+00,0.00e+00,9.00e-01,9.00e-01,7.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.00e-01,9.00e-01,2.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.00e-01,9.00e-01,1.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,1243,2.70e+00
5000,2500,250000,0.00e+00,0.00e+00,1.10e+00,1.10e+00,9.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.10e+00,1.10e+00,2.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.10e+00,1.10e+00,2.10,0.00e+00,0.00e+00,0.00e+00,3.33e-01,1545,3.30e+00
6000,3000,300000,0.00e+00,0.00e+00,9.67e-01,9.67e-01,8.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.67e-01,9.67e-01,2.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,9.67e-01,9.67e-01,0.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,1840,2.90e+00
7000,3500,350000,0.00e+00,0.00e+00,1.03e+00,1.03e+00,9.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.03e+00,1.03e+00,3.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.03e+00,1.03e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,2133,3.10e+00
8000,4000,400000,0.00e+00,0.00e+00,1.30e+00,1.30e+00,9.20,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.30e+00,1.30e+00,2.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.30e+00,1.30e+00,0.40,0.00e+00,0.00e+00,0.00e+00,3.33e-01,2428,3.90e+00
9000,4500,450000,0.00e+00,0.00e+00,1.27e+00,1.27e+00,5.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.27e+00,1.27e+00,4.30,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.27e+00,1.27e+00,0.50,0.00e+00,0.00e+00,0.00e+00,3.33e-01,2722,3.80e+00
10000,5000,500000,0.00e+00,0.00e+00,1.33e+00,1.33e+00,9.80,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.33e+00,1.33e+00,1.90,0.00e+00,0.00e+00,0.00e+00,3.33e-01,0.00e+00,0.00e+00,1.33e+00,1.33e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.33e-01,3016,4.00e+00
