episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,1.01e-02,8.95e-03,1.30e+00,1.30e+00,1.60,2.39e-03,1.61e-03,3.03e-04,1.00e+00,1.28e-02,7.92e-03,1.00e+00,9.95e-01,6.20,2.69e-03,1.76e-03,6.73e-04,1.00e+00,6.53e-03,1.26e-02,7.00e-01,7.06e-01,1.60,2.27e-03,1.73e-03,2.99e-04,1.00e+00,516,3.00e+00
2000,1000,100000,4.94e-03,5.83e-03,9.00e-01,9.01e-01,2.30,1.47e-03,1.21e-03,3.00e-04,1.00e+00,7.66e-03,4.39e-03,2.00e-01,1.97e-01,3.30,1.45e-03,7.83e-04,2.42e-04,1.00e+00,3.07e-03,5.45e-03,1.60e+00,1.60e+00,0.10,6.98e-05,8.86e-04,1.19e-05,1.00e+00,1030,2.70e+00
3000,1500,150000,2.67e-03,8.11e-03,9.00e-01,9.05e-01,4.30,2.65e-03,1.85e-03,5.97e-04,1.00e+00,1.14e-02,2.90e-03,2.00e-01,1.92e-01,3.10,8.94e-04,6.23e-04,1.77e-04,1.00e+00,2.01e-03,5.04e-03,1.80e+00,1.80e+00,0.00,1.68e-05,6.57e-04,0.00e+00,1.00e+00,1515,2.90e+00
4000,2000,200000,1.95e-03,1.53e-03,1.00e+00,1.00e+00,1.20,1.73e-04,3.90e-04,3.93e-05,1.00e+00,2.23e-03,2.42e-03,2.00e-01,2.00e-01,4.50,7.73e-04,4.60e-04,1.69e-04,1.00e+00,1.49e-03,1.73e-03,1.50e+00,1.50e+00,0.00,0.00e+00,2.82e-04,0.00e+00,1.00e+00,1980,2.70e+00
5000,2500,250000,1.12e-03,2.24e-03,7.00e-01,7.01e-01,0.40,2.25e-04,4.98e-04,2.09e-05,1.00e+00,4.85e-03,1.29e-03,2.00e-01,1.96e-01,1.70,2.12e-04,2.86e-04,5.09e-05,1.00e+00,7.69e-04,3.21e-03,5.00e-01,5.02e-01,0.00,3.24e-06,3.96e-04,0.00e+00,1.00e+00,2446,1.40e+00
6000,3000,300000,6.65e-04,4.35e-04,8.00e-01,8.00e-01,0.50,3.13e-05,1.03e-04,3.88e-06,1.00e+00,1.30e-03,7.10e-04,1.00e-01,9.94e-02,2.20,1.53e-04,1.40e-04,2.80e-05,1.00e+00,4.17e-04,1.24e-03,8.00e-01,8.01e-01,0.00,0.00e+00,1.46e-04,0.00e+00,1.00e+00,2912,1.70e+00
7000,3500,350000,2.33e-04,2.30e-04,3.00e-01,3.00e-01,2.00,5.09e-05,4.74e-05,8.22e-06,1.00e+00,4.34e-04,4.61e-04,1.00e-01,1.00e-01,2.40,1.34e-04,7.89e-05,1.80e-05,1.00e+00,3.50e-04,3.26e-04,1.40e+00,1.40e+00,0.00,0.00e+00,4.09e-05,0.00e+00,1.00e+00,3377,1.80e+00
8000,4000,400000,1.32e-04,2.53e-04,6.00e-01,6.00e-01,2.90,4.77e-05,6.18e-05,1.45e-05,1.00e+00,4.91e-04,2.93e-04,2.00e-01,2.00e-01,1.50,5.99e-05,4.85e-05,7.72e-06,1.00e+00,2.34e-04,3.11e-04,1.60e+00,1.60e+00,0.00,3.12e-07,4.16e-05,0.00e+00,1.00e+00,3843,2.40e+00
9000,4500,450000,8.27e-05,1.99e-04,6.00e-01,6.00e-01,1.40,2.88e-05,4.30e-05,5.88e-06,1.00e+00,3.62e-04,2.11e-04,4.00e-01,4.00e-01,1.50,2.99e-05,3.44e-05,5.55e-06,1.00e+00,1.78e-04,2.12e-04,6.00e-01,6.00e-01,0.00,0.00e+00,3.33e-05,0.00e+00,1.00e+00,4309,1.60e+00
10000,5000,500000,7.02e-05,1.59e-04,2.00e-01,2.00e-01,2.00,2.77e-05,4.01e-05,5.21e-06,1.00e+00,2.53e-04,1.93e-04,4.00e-01,4.00e-01,0.60,1.89e-05,3.67e-05,2.17e-06,1.00e+00,1.65e-04,1.36e-04,1.30e+00,1.30e+00,0.00,0.00e+00,1.92e-05,0.00e+00,1.00e+00,4775,1.90e+00
11000,5500,550000,3.12e-05,9.75e-05,2.00e-01,2.00e-01,1.70,1.90e-05,2.12e-05,4.23e-06,1.00e+00,1.32e-04,9.48e-05,9.00e-01,9.00e-01,0.20,3.09e-06,1.70e-05,1.79e-07,1.00e+00,8.65e-05,5.70e-05,9.00e-01,9.00e-01,0.00,1.41e-07,8.01e-06,0.00e+00,1.00e+00,5241,2.00e+00
12000,6000,600000,2.43e-05,1.98e-04,5.00e-01,5.00e-01,1.50,3.21e-05,4.77e-05,6.79e-06,1.00e+00,2.72e-04,7.76e-05,3.00e-01,3.00e-01,1.90,1.28e-05,1.47e-05,2.97e-06,1.00e+00,7.29e-05,9.36e-05,2.00e+00,2.00e+00,0.00,0.00e+00,1.26e-05,0.00e+00,1.00e+00,5707,2.80e+00
13000,6500,650000,1.46e-05,2.13e-04,5.00e-01,5.00e-01,2.50,4.48e-05,5.89e-05,1.25e-05,1.00e+00,3.15e-04,5.13e-05,4.00e-01,4.00e-01,1.10,2.03e-06,1.15e-05,5.34e-07,1.00e+00,5.15e-05,1.17e-04,1.10e+00,1.10e+00,0.00,0.00e+00,1.73e-05,0.00e+00,1.00e+00,6173,2.00e+00
14000,7000,700000,1.41e-05,8.80e-06,2.00e-01,2.00e-01,1.10,1.21e-06,2.23e-06,1.89e-07,1.00e+00,2.61e-09,4.27e-05,9.00e-01,9.00e-01,0.10,6.09e-07,9.18e-06,1.50e-07,1.00e+00,4.20e-05,4.62e-06,1.10e+00,1.10e+00,0.00,7.65e-09,7.74e-07,0.00e+00,1.00e+00,6639,2.20e+00
15000,7500,750000,8.73e-06,7.04e-06,8.00e-01,8.00e-01,3.50,2.02e-06,1.95e-06,5.44e-07,1.00e+00,2.18e-09,3.01e-05,8.00e-01,8.00e-01,0.20,1.50e-06,5.13e-06,3.06e-08,1.00e+00,3.15e-05,3.13e-06,9.00e-01,9.00e-01,0.00,0.00e+00,6.54e-07,0.00e+00,1.00e+00,7106,2.50e+00
16000,8000,800000,5.39e-06,6.33e-06,3.00e-01,3.00e-01,2.10,1.70e-06,1.34e-06,4.15e-07,1.00e+00,2.18e-09,2.15e-05,2.00e-01,2.00e-01,1.10,2.51e-06,4.22e-06,4.28e-07,1.00e+00,2.43e-05,1.88e-06,1.00e+00,1.00e+00,0.00,0.00e+00,3.38e-07,0.00e+00,1.00e+00,7572,1.50e+00
17000,8500,850000,3.87e-06,6.14e-06,6.00e-01,6.00e-01,4.40,1.89e-06,1.68e-06,6.59e-07,1.00e+00,2.17e-09,1.52e-05,1.00e+00,1.00e+00,0.40,8.02e-07,2.65e-06,1.58e-07,1.00e+00,1.88e-05,1.35e-06,1.30e+00,1.30e+00,1.00,1.12e-07,3.12e-07,3.59e-08,1.00e+00,8037,2.90e+00
18000,9000,900000,3.69e-06,7.80e-06,8.00e-01,8.00e-01,1.70,1.57e-06,1.84e-06,3.71e-07,1.00e+00,2.55e-09,1.39e-05,9.00e-01,9.00e-01,0.40,9.68e-07,2.68e-06,1.43e-07,1.00e+00,1.93e-05,1.32e-06,1.30e+00,1.30e+00,0.00,0.00e+00,2.74e-07,0.00e+00,1.00e+00,8502,3.00e+00
19000,9500,950000,1.93e-06,2.04e-05,1.00e-01,1.00e-01,2.50,6.12e-06,5.73e-06,1.37e-06,1.00e+00,2.22e-09,1.80e-05,6.00e-01,6.00e-01,0.40,8.19e-07,3.55e-06,2.09e-07,1.00e+00,3.71e-05,6.34e-07,1.40e+00,1.40e+00,0.00,0.00e+00,1.08e-07,0.00e+00,1.00e+00,8968,2.10e+00
20000,10000,1000000,2.69e-06,4.57e-14,5.00e-01,5.00e-01,0.40,6.99e-16,7.52e-15,4.14e-17,1.00e+00,2.17e-09,1.69e-06,5.00e-01,5.00e-01,0.80,6.51e-08,2.53e-07,4.01e-09,1.00e+00,7.59e-17,1.00e-06,8.00e-01,8.00e-01,0.10,1.12e-08,1.83e-07,4.20e-09,1.00e+00,9433,1.80e+00
