episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,24667,0.00e+00,0.00e+00,1.50e-01,1.50e-01,3.30,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,7.25e-01,7.25e-01,1.60,0.00e+00,0.00e+00,0.00e+00,6.00e-01,0.00e+00,0.00e+00,1.20e+00,1.20e+00,0.30,0.00e+00,0.00e+00,0.00e+00,5.00e-01,266,2.08e+00
2000,1000,48942,0.00e+00,0.00e+00,1.50e-01,1.50e-01,1.20,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,3.00e-01,3.00e-01,0.70,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,3.00e-01,3.00e-01,1.70,0.00e+00,0.00e+00,0.00e+00,5.00e-01,551,7.50e-01
3000,1500,73021,0.00e+00,0.00e+00,1.50e-01,1.50e-01,1.50,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,3.75e-01,3.75e-01,0.40,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,3.00e-01,3.00e-01,1.00,0.00e+00,0.00e+00,0.00e+00,2.00e-01,864,8.25e-01
4000,2000,96316,0.00e+00,0.00e+00,1.50e-01,1.50e-01,2.70,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,7.50e-02,7.50e-02,2.30,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,8.00e-01,8.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,1238,1.02e+00
5000,2500,119856,0.00e+00,0.00e+00,3.00e-01,3.00e-01,1.80,0.00e+00,0.00e+00,0.00e+00,7.00e-01,0.00e+00,0.00e+00,1.75e-01,1.75e-01,3.00,0.00e+00,0.00e+00,0.00e+00,6.00e-01,0.00e+00,0.00e+00,7.75e-01,7.75e-01,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,1595,1.25e+00
6000,3000,143102,0.00e+00,0.00e+00,5.00e-01,5.00e-01,3.20,0.00e+00,0.00e+00,0.00e+00,5.00e-01,0.00e+00,0.00e+00,7.50e-01,7.50e-01,2.50,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,9.25e-01,9.25e-01,0.70,0.00e+00,0.00e+00,0.00e+00,6.00e-01,1923,2.17e+00
7000,3500,165025,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.20,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e-01,0.00e+00,0.00e+00,1.00e-01,1.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,2.00e-01,2214,1.00e-01
8000,4000,188320,0.00e+00,0.00e+00,5.00e-02,5.00e-02,1.70,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,5.25e-01,5.25e-01,1.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,4.50e-01,4.50e-01,0.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,2472,1.03e+00
9000,4500,210733,0.00e+00,0.00e+00,2.50e-01,2.50e-01,1.20,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,1.75e-01,1.75e-01,0.20,0.00e+00,0.00e+00,0.00e+00,5.00e-01,0.00e+00,0.00e+00,7.00e-01,7.00e-01,0.10,0.00e+00,0.00e+00,0.00e+00,4.00e-01,2736,1.12e+00
10000,5000,233097,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.30,0.00e+00,0.00e+00,0.00e+00,1.00e-01,0.00e+00,0.00e+00,1.00e-01,1.00e-01,0.30,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,4.00e-01,4.00e-01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e-01,2988,5.00e-01
