episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,A3_given,A3_received,A3_reward_env,A3_reward_total,A3_waste_cleared,A3_r_riverside,A3_r_beam,A3_r_cleared,A3_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,1.29e+00,1.29e+00,1.60,0.00e+00,0.00e+00,0.00e+00,6.80e-01,0.00e+00,0.00e+00,4.39e-01,4.39e-01,9.80,0.00e+00,0.00e+00,0.00e+00,6.80e-01,0.00e+00,0.00e+00,6.09e-01,6.09e-01,1.50,0.00e+00,0.00e+00,0.00e+00,6.80e-01,306,2.34e+00
2000,1000,100000,0.00e+00,0.00e+00,4.70e-01,4.70e-01,1.50,0.00e+00,0.00e+00,0.00e+00,8.60e-01,0.00e+00,0.00e+00,4.75e-01,4.75e-01,4.70,0.00e+00,0.00e+00,0.00e+00,8.60e-01,0.00e+00,0.00e+00,9.80e-01,9.80e-01,1.40,0.00e+00,0.00e+00,0.00e+00,8.60e-01,608,1.92e+00
3000,1500,150000,0.00e+00,0.00e+00,9.90e-01,9.90e-01,4.50,0.00e+00,0.00e+00,0.00e+00,8.20e-01,0.00e+00,0.00e+00,6.01e-01,6.01e-01,4.20,0.00e+00,0.00e+00,0.00e+00,8.20e-01,0.00e+00,0.00e+00,2.23e+00,2.23e+00,0.20,0.00e+00,0.00e+00,0.00e+00,8.20e-01,906,3.82e+00
4000,2000,200000,0.00e+00,0.00e+00,1.27e+00,1.27e+00,2.80,0.00e+00,0.00e+00,0.00e+00,7.00e-01,0.00e+00,0.00e+00,6.67e-01,6.67e-01,5.60,0.00e+00,0.00e+00,0.00e+00,7.00e-01,0.00e+00,0.00e+00,1.82e+00,1.82e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.00e-01,1186,3.75e+00
5000,2500,250000,0.00e+00,0.00e+00,5.10e-01,5.10e-01,1.60,0.00e+00,0.00e+00,0.00e+00,6.60e-01,0.00e+00,0.00e+00,6.31e-01,6.31e-01,4.00,0.00e+00,0.00e+00,0.00e+00,6.60e-01,0.00e+00,0.00e+00,9.28e-01,9.28e-01,0.00,0.00e+00,0.00e+00,0.00e+00,6.60e-01,1466,2.07e+00
6000,3000,300000,0.00e+00,0.00e+00,6.80e-01,6.80e-01,2.60,0.00e+00,0.00e+00,0.00e+00,9.00e-01,0.00e+00,0.00e+00,7.68e-01,7.68e-01,2.70,0.00e+00,0.00e+00,0.00e+00,9.00e-01,0.00e+00,0.00e+00,1.05e+00,1.05e+00,0.20,0.00e+00,0.00e+00,0.00e+00,9.00e-01,1744,2.50e+00
7000,3500,350000,0.00e+00,0.00e+00,8.50e-01,8.50e-01,3.30,0.00e+00,0.00e+00,0.00e+00,6.00e-01,0.00e+00,0.00e+00,6.03e-01,6.03e-01,2.70,0.00e+00,0.00e+00,0.00e+00,6.00e-01,0.00e+00,0.00e+00,1.48e+00,1.48e+00,0.80,0.00e+00,0.00e+00,0.00e+00,6.00e-01,2024,2.93e+00
8000,4000,400000,0.00e+00,0.00e+00,5.30e-01,5.30e-01,1.40,0.00e+00,0.00e+00,0.00e+00,8.00e-01,0.00e+00,0.00e+00,3.79e-01,3.79e-01,3.80,0.00e+00,0.00e+00,0.00e+00,8.00e-01,0.00e+00,0.00e+00,1.68e+00,1.68e+00,0.10,0.00e+00,0.00e+00,0.00e+00,8.00e-01,2302,2.59e+00
9000,4500,450000,0.00e+00,0.00e+00,1.90e-01,1.90e-01,1.90,0.00e+00,0.00e+00,0.00e+00,9.00e-01,0.00e+00,0.00e+00,2.73e-01,2.73e-01,2.00,0.00e+00,0.00e+00,0.00e+00,9.00e-01,0.00e+00,0.00e+00,5.75e-01,5.75e-01,0.20,0.00e+00,0.00e+00,0.00e+00,9.00e-01,2580,1.04e+00
10000,5000,500000,0.00e+00,0.00e+00,4.20e-01,4.20e-01,2.90,0.00e+00,0.00e+00,0.00e+00,8.00e-01,0.00e+00,0.00e+00,4.82e-01,4.82e-01,1.70,0.00e+00,0.00e+00,0.00e+00,8.00e-01,0.00e+00,0.00e+00,1.12e+00,1.12e+00,0.00,0.00e+00,0.00e+00,0.00e+00,8.00e-01,2865,2.02e+00
11000,5500,550000,0.00e+00,0.00e+00,4.30e-01,4.30e-01,1.70,0.00e+00,0.00e+00,0.00e+00,6.60e-01,0.00e+00,0.00e+00,6.13e-01,6.13e-01,1.60,0.00e+00,0.00e+00,0.00e+00,6.60e-01,0.00e+00,0.00e+00,1.13e+00,1.13e+00,0.00,0.00e+00,0.00e+00,0.00e+00,6.60e-01,3142,2.17e+00
12000,6000,600000,0.00e+00,0.00e+00,3.60e-01,3.60e-01,1.50,0.00e+00,0.00e+00,0.00e+00,8.20e-01,0.00e+00,0.00e+00,4.32e-01,4.32e-01,3.70,0.00e+00,0.00e+00,0.00e+00,8.20e-01,0.00e+00,0.00e+00,1.50e+00,1.50e+00,0.10,0.00e+00,0.00e+00,0.00e+00,8.20e-01,3421,2.29e+00
13000,6500,650000,0.00e+00,0.00e+00,2.70e-01,2.70e-01,2.90,0.00e+00,0.00e+00,0.00e+00,7.40e-01,0.00e+00,0.00e+00,4.81e-01,4.81e-01,2.20,0.00e+00,0.00e+00,0.00e+00,7.40e-01,0.00e+00,0.00e+00,1.03e+00,1.03e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.40e-01,3699,1.78e+00
14000,7000,700000,0.00e+00,0.00e+00,5.20e-01,5.20e-01,2.10,0.00e+00,0.00e+00,0.00e+00,7.00e-01,0.00e+00,0.00e+00,9.48e-01,9.48e-01,2.20,0.00e+00,0.00e+00,0.00e+00,7.00e-01,0.00e+00,0.00e+00,1.12e+00,1.12e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.00e-01,3978,2.59e+00
15000,7500,750000,0.00e+00,0.00e+00,5.70e-01,5.70e-01,4.10,0.00e+00,0.00e+00,0.00e+00,7.40e-01,0.00e+00,0.00e+00,4.77e-01,4.77e-01,1.00,0.00e+00,0.00e+00,0.00e+00,7.40e-01,0.00e+00,0.00e+00,1.03e+00,1.03e+00,0.00,0.00e+00,0.00e+00,0.00e+00,7.40e-01,4255,2.07e+00
