episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,8.50e-01,8.50e-01,4.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,8.50e-01,8.50e-01,2.10,0.00e+00,0.00e+00,0.00e+00,186,1.70e+00
2000,1000,100000,0.00e+00,0.00e+00,7.00e-01,7.00e-01,3.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.00e-01,7.00e-01,1.70,0.00e+00,0.00e+00,0.00e+00,370,1.40e+00
3000,1500,150000,0.00e+00,0.00e+00,1.10e+00,1.10e+00,4.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.10e+00,1.10e+00,0.50,0.00e+00,0.00e+00,0.00e+00,552,2.20e+00
4000,2000,200000,0.00e+00,0.00e+00,5.50e-01,5.50e-01,3.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.50e-01,5.50e-01,1.30,0.00e+00,0.00e+00,0.00e+00,734,1.10e+00
5000,2500,250000,0.00e+00,0.00e+00,9.50e-01,9.50e-01,4.60,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.50e-01,9.50e-01,0.60,0.00e+00,0.00e+00,0.00e+00,915,1.90e+00
6000,3000,300000,0.00e+00,0.00e+00,9.00e-01,9.00e-01,3.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,9.00e-01,9.00e-01,0.60,0.00e+00,0.00e+00,0.00e+00,1100,1.80e+00
7000,3500,350000,0.00e+00,0.00e+00,5.00e-01,5.00e-01,2.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,5.00e-01,5.00e-01,0.60,0.00e+00,0.00e+00,0.00e+00,1281,1.00e+00
8000,4000,400000,0.00e+00,0.00e+00,1.20e+00,1.20e+00,4.40,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.20e+00,1.20e+00,0.80,0.00e+00,0.00e+00,0.00e+00,1462,2.40e+00
9000,4500,450000,0.00e+00,0.00e+00,7.50e-01,7.50e-01,4.00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,7.50e-01,7.50e-01,1.90,0.00e+00,0.00e+00,0.00e+00,1652,1.50e+00
10000,5000,500000,0.00e+00,0.00e+00,1.15e+00,1.15e+00,5.50,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.15e+00,1.15e+00,0.80,0.00e+00,0.00e+00,0.00e+00,1833,2.30e+00
11000,5500,550000,0.00e+00,0.00e+00,1.35e+00,1.35e+00,6.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.35e+00,1.35e+00,0.50,0.00e+00,0.00e+00,0.00e+00,2023,2.70e+00
12000,6000,600000,0.00e+00,0.00e+00,1.45e+00,1.45e+00,5.80,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.45e+00,1.45e+00,0.70,0.00e+00,0.00e+00,0.00e+00,2213,2.90e+00
13000,6500,650000,0.00e+00,0.00e+00,1.85e+00,1.85e+00,6.10,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.85e+00,1.85e+00,0.70,0.00e+00,0.00e+00,0.00e+00,2402,3.70e+00
