episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
1000,500,50000,3.01e-02,2.07e-03,3.00e-01,2.72e-01,4.80,1.26e-03,7.41e-04,4.05e-04,1.00e+00,2.07e-03,3.01e-02,1.70e+00,1.73e+00,0.90,3.50e-03,6.84e-03,8.38e-04,1.00e+00,331,2.00e+00
2000,1000,100000,5.85e-03,1.00e-03,1.00e-01,9.52e-02,3.20,4.76e-04,2.91e-04,1.13e-04,1.00e+00,1.00e-03,5.85e-03,1.10e+00,1.10e+00,0.30,1.67e-04,1.08e-03,4.25e-05,1.00e+00,629,1.20e+00
3000,1500,150000,2.60e-03,9.89e-04,1.00e-01,9.84e-02,4.70,5.39e-04,3.72e-04,1.48e-04,1.00e+00,9.89e-04,2.60e-03,1.20e+00,1.20e+00,0.30,4.68e-05,4.60e-04,1.33e-05,1.00e+00,917,1.30e+00
4000,2000,200000,1.26e-03,1.10e-03,5.00e-01,5.00e-01,2.90,5.73e-04,4.27e-04,1.88e-04,1.00e+00,1.10e-03,1.26e-03,1.30e+00,1.30e+00,0.60,7.14e-05,2.21e-04,1.59e-05,1.00e+00,1204,1.80e+00
5000,2500,250000,6.01e-04,1.77e-03,1.00e-01,1.01e-01,4.00,8.21e-04,5.74e-04,1.19e-04,1.00e+00,1.77e-03,6.01e-04,2.00e+00,2.00e+00,0.30,2.85e-05,9.88e-05,4.25e-06,1.00e+00,1492,2.10e+00
6000,3000,300000,4.40e-04,3.96e-03,2.00e-01,2.04e-01,2.60,2.02e-03,1.26e-03,5.30e-04,1.00e+00,3.96e-03,4.40e-04,1.30e+00,1.30e+00,0.30,1.21e-05,8.26e-05,2.99e-06,1.00e+00,1779,1.50e+00
7000,3500,350000,7.35e-05,9.96e+01,0.00e+00,9.96e+01,36.10,9.48e+01,9.96e+01,7.22e+01,1.00e+00,9.96e+01,7.35e-05,2.17e+01,-7.79e+01,0.00,0.00e+00,2.92e-06,0.00e+00,1.00e+00,2069,2.17e+01
8000,4000,400000,4.95e-05,8.38e-09,0.00e+00,-4.95e-05,31.50,8.38e-09,8.38e-09,8.38e-09,1.00e+00,8.38e-09,4.95e-05,2.29e+01,2.29e+01,0.00,0.00e+00,1.11e-07,0.00e+00,1.00e+00,2398,2.29e+01
9000,4500,450000,2.75e-04,6.03e-06,5.00e-01,5.00e-01,5.50,6.96e-07,6.03e-06,6.96e-07,1.00e+00,6.03e-06,2.75e-04,3.20e+00,3.20e+00,0.00,0.00e+00,1.26e-05,0.00e+00,1.00e+00,2704,3.70e+00
10000,5000,500000,2.91e-04,1.68e-07,5.00e-01,5.00e-01,3.70,1.85e-08,1.68e-07,1.85e-08,1.00e+00,1.68e-07,2.91e-04,1.40e+00,1.40e+00,0.30,7.97e-06,9.15e-05,3.34e-06,1.00e+00,2994,1.90e+00
11000,5500,550000,3.94e-04,2.08e-06,2.00e-01,2.00e-01,6.60,1.01e-06,2.08e-06,1.01e-06,1.00e+00,2.08e-06,3.94e-04,2.90e+00,2.90e+00,0.00,9.76e-07,1.03e-04,0.00e+00,1.00e+00,3283,3.10e+00
12000,6000,600000,9.93e-05,1.44e-06,5.00e-01,5.00e-01,4.00,7.23e-07,1.44e-06,7.23e-07,1.00e+00,1.44e-06,9.93e-05,2.50e+00,2.50e+00,0.10,1.38e-06,2.61e-05,6.74e-07,1.00e+00,3572,3.00e+00
13000,6500,650000,8.55e-05,4.55e-07,2.00e-01,2.00e-01,3.50,1.67e-07,4.55e-07,1.67e-07,1.00e+00,4.55e-07,8.55e-05,1.40e+00,1.40e+00,0.00,8.66e-07,2.65e-05,0.00e+00,1.00e+00,3859,1.60e+00
14000,7000,700000,4.84e-05,1.12e-06,6.00e-01,6.00e-01,3.80,1.86e-07,1.12e-06,1.86e-07,1.00e+00,1.12e-06,4.84e-05,2.20e+00,2.20e+00,0.20,1.11e-06,1.25e-05,2.22e-07,1.00e+00,4153,2.80e+00
15000,7500,750000,3.30e-05,1.36e-06,4.00e-01,4.00e-01,3.80,8.10e-07,1.36e-06,8.10e-07,1.00e+00,1.36e-06,3.30e-05,2.80e+00,2.80e+00,0.20,4.28e-07,6.67e-06,2.17e-07,1.00e+00,4441,3.20e+00
16000,8000,800000,2.52e-05,1.97e-06,7.00e-01,7.00e-01,2.90,1.55e-08,1.97e-06,1.55e-08,1.00e+00,1.97e-06,2.52e-05,1.00e+00,1.00e+00,0.10,2.10e-07,6.31e-06,1.15e-07,1.00e+00,4729,1.70e+00
17000,8500,850000,2.09e-05,2.33e-06,3.00e-01,3.00e-01,3.20,7.33e-07,2.33e-06,7.33e-07,1.00e+00,2.33e-06,2.09e-05,1.40e+00,1.40e+00,0.70,8.98e-07,6.59e-06,5.52e-07,1.00e+00,5016,1.70e+00
18000,9000,900000,1.43e-05,2.51e-06,1.00e-01,1.00e-01,2.40,6.39e-07,2.51e-06,6.39e-07,1.00e+00,2.51e-06,1.43e-05,1.00e+00,1.00e+00,0.70,6.75e-07,4.66e-06,3.55e-07,1.00e+00,5304,1.10e+00
19000,9500,950000,1.21e-05,5.32e-06,4.00e-01,4.00e-01,1.60,4.76e-09,5.32e-06,4.76e-09,1.00e+00,5.32e-06,1.21e-05,7.00e-01,7.00e-01,0.10,1.43e-07,3.46e-06,6.63e-08,1.00e+00,5591,1.10e+00
20000,10000,1000000,2.71e-05,2.26e-06,2.00e-01,2.00e-01,4.70,1.10e-06,2.26e-06,1.10e-06,1.00e+00,2.26e-06,2.71e-05,3.00e+00,3.00e+00,0.30,6.33e-07,8.17e-06,2.76e-07,1.00e+00,5887,3.20e+00
21000,10500,1050000,1.86e-07,1.14e-05,0.00e+00,1.12e-05,2.80,1.33e-06,1.14e-05,1.33e-06,1.00e+00,1.14e-05,1.86e-07,1.50e+00,1.50e+00,0.10,1.57e-09,3.76e-08,1.04e-10,1.00e+00,6174,1.50e+00
22000,11000,1100000,1.65e-07,2.25e+01,5.00e-01,2.30e+01,2.70,5.42e+00,2.23e+01,5.39e+00,1.00e+00,2.25e+01,1.65e-07,1.40e+00,-2.11e+01,0.50,8.02e-09,3.86e-08,3.17e-09,1.00e+00,6466,1.90e+00
23000,11500,1150000,1.19e-08,1.00e+02,0.00e+00,1.00e+02,38.20,1.00e+02,1.00e+02,7.64e+01,1.00e+00,1.00e+02,1.19e-08,3.27e+01,-6.73e+01,0.00,0.00e+00,7.48e-10,0.00e+00,1.00e+00,6766,3.27e+01
24000,12000,1200000,1.25e-08,1.00e+02,0.00e+00,1.00e+02,39.60,1.00e+02,1.00e+02,7.92e+01,1.00e+00,1.00e+02,1.25e-08,3.60e+01,-6.40e+01,0.00,0.00e+00,4.38e-11,0.00e+00,1.00e+00,7078,3.60e+01
25000,12500,1250000,1.45e-08,9.98e+01,0.00e+00,9.98e+01,40.10,9.98e+01,9.98e+01,8.02e+01,1.00e+00,9.98e+01,1.45e-08,3.71e+01,-6.27e+01,0.00,0.00e+00,7.52e-10,0.00e+00,1.00e+00,7384,3.71e+01
26000,13000,1300000,1.05e-08,1.00e+02,0.00e+00,1.00e+02,37.40,1.00e+02,1.00e+02,7.48e+01,1.00e+00,1.00e+02,1.05e-08,3.76e+01,-6.24e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,7693,3.76e+01
27000,13500,1350000,8.66e-09,1.00e+02,0.00e+00,1.00e+02,39.80,1.00e+02,1.00e+02,7.96e+01,1.00e+00,1.00e+02,8.66e-09,3.88e+01,-6.12e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,8002,3.88e+01
28000,14000,1400000,7.08e-09,2.00e+00,0.00e+00,2.00e+00,39.00,2.00e+00,2.00e+00,2.00e+00,1.00e+00,2.00e+00,7.08e-09,3.81e+01,3.61e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,8306,3.81e+01
29000,14500,1450000,8.58e-09,2.00e+00,0.00e+00,2.00e+00,38.70,2.00e+00,2.00e+00,2.00e+00,1.00e+00,2.00e+00,8.58e-09,4.10e+01,3.90e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,8611,4.10e+01
30000,15000,1500000,6.44e-09,2.00e+00,0.00e+00,2.00e+00,38.40,2.00e+00,2.00e+00,2.00e+00,1.00e+00,2.00e+00,6.44e-09,3.80e+01,3.60e+01,0.00,0.00e+00,3.88e-10,0.00e+00,1.00e+00,8918,3.80e+01
31000,15500,1550000,3.37e-09,2.61e+00,0.00e+00,2.61e+00,38.60,2.61e+00,2.61e+00,2.61e+00,1.00e+00,2.61e+00,3.37e-09,3.88e+01,3.62e+01,0.00,3.22e-11,6.53e-10,0.00e+00,1.00e+00,9222,3.88e+01
32000,16000,1600000,4.19e-09,2.00e+00,0.00e+00,2.00e+00,38.10,2.00e+00,2.00e+00,2.00e+00,1.00e+00,2.00e+00,4.19e-09,3.83e+01,3.63e+01,0.00,0.00e+00,2.27e-11,0.00e+00,1.00e+00,9525,3.83e+01
33000,16500,1650000,4.01e-09,2.00e+00,0.00e+00,2.00e+00,36.80,2.00e+00,2.00e+00,2.00e+00,1.00e+00,2.00e+00,4.01e-09,3.99e+01,3.79e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,9834,3.99e+01
34000,17000,1700000,2.46e-09,2.00e+00,0.00e+00,2.00e+00,38.40,2.00e+00,2.00e+00,2.00e+00,1.00e+00,2.00e+00,2.46e-09,3.88e+01,3.68e+01,0.00,0.00e+00,3.82e-12,0.00e+00,1.00e+00,10141,3.88e+01
35000,17500,1750000,4.57e-09,2.00e+00,0.00e+00,2.00e+00,38.10,2.00e+00,2.00e+00,2.00e+00,1.00e+00,2.00e+00,4.57e-09,4.13e+01,3.93e+01,0.00,0.00e+00,2.92e-10,0.00e+00,1.00e+00,10451,4.13e+01
36000,18000,1800000,2.93e-09,2.00e+00,0.00e+00,2.00e+00,39.50,2.00e+00,2.00e+00,2.00e+00,1.00e+00,2.00e+00,2.93e-09,3.88e+01,3.68e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,10759,3.88e+01
37000,18500,1850000,2.13e-09,2.00e+00,0.00e+00,2.00e+00,39.40,2.00e+00,2.00e+00,2.00e+00,1.00e+00,2.00e+00,2.13e-09,3.89e+01,3.69e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,11066,3.89e+01
38000,19000,1900000,1.48e-09,2.00e+00,0.00e+00,2.00e+00,37.40,2.00e+00,2.00e+00,2.00e+00,1.00e+00,2.00e+00,1.48e-09,3.82e+01,3.62e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,11371,3.82e+01
39000,19500,1950000,1.59e-10,9.30e+01,0.00e+00,9.30e+01,35.40,9.30e+01,9.30e+01,7.08e+01,1.00e+00,9.30e+01,1.59e-10,3.79e+01,-5.51e+01,0.00,0.00e+00,1.25e-11,0.00e+00,1.00e+00,11682,3.79e+01
40000,20000,2000000,9.92e-11,9.80e+01,0.00e+00,9.80e+01,37.30,9.80e+01,9.80e+01,7.46e+01,1.00e+00,9.80e+01,9.92e-11,3.97e+01,-5.83e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,11981,3.97e+01
41000,20500,2050000,9.90e-11,9.80e+01,0.00e+00,9.80e+01,38.80,9.80e+01,9.80e+01,7.76e+01,1.00e+00,9.80e+01,9.90e-11,4.03e+01,-5.77e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1.00e+00,12282,4.03e+01
42000,21000,2100000,1.03e-10,9.80e+01,0.00e+00,9.80e+01,38.20,9.80e+01,9.80e+01,7.64e+01,1.00e+00,9.80e+01,1.03e-10,3.96e+01,-5.84e+01,0.00,0.00e+00,8.98e-12,0.00e+00,1.00e+00,12582,3.96e+01
43000,21500,2150000,1.00e-10,9.80e+01,0.00e+00,9.80e+01,38.00,9.80e+01,9.80e+01,7.60e+01,1.00e+00,9.80e+01,1.00e-10,4.04e+01,-5.76e+01,0.00,0.00e+00,4.54e-12,0.00e+00,1.00e+00,12883,4.04e+01
44000,22000,2200000,1.01e-10,9.80e+01,0.00e+00,9.80e+01,36.00,9.80e+01,9.80e+01,7.20e+01,1.00e+00,9.80e+01,1.01e-10,3.88e+01,-5.92e+01,0.00,0.00e+00,8.59e-12,0.00e+00,1.00e+00,13182,3.88e+01
45000,22500,2250000,9.63e-11,9.80e+01,0.00e+00,9.80e+01,37.40,9.80e+01,9.80e+01,7.48e+01,1.00e+00,9.80e+01,9.63e-11,4.04e+01,-5.76e+01,0.00,0.00e+00,1.97e-13,0.00e+00,1.00e+00,13483,4.04e+01
46000,23000,2300000,9.68e-11,9.78e+01,0.00e+00,9.78e+01,38.70,9.78e+01,9.78e+01,7.74e+01,1.00e+00,9.78e+01,9.68e-11,3.91e+01,-5.87e+01,0.00,0.00e+00,2.79e-13,0.00e+00,1.00e+00,13784,3.91e+01
47000,23500,2350000,9.52e-11,9.80e+01,0.00e+00,9.80e+01,39.00,9.80e+01,9.80e+01,7.80e+01,1.00e+00,9.80e+01,9.52e-11,3.84e+01,-5.96e+01,0.00,0.00e+00,4.13e-12,0.00e+00,1.00e+00,14087,3.84e+01
48000,24000,2400000,9.28e-11,9.80e+01,0.00e+00,9.80e+01,35.60,9.80e+01,9.80e+01,7.12e+01,1.00e+00,9.80e+01,9.28e-11,3.93e+01,-5.87e+01,0.00,0.00e+00,4.50e-13,0.00e+00,1.00e+00,14389,3.93e+01
49000,24500,2450000,9.23e-11,9.80e+01,0.00e+00,9.80e+01,38.00,9.80e+01,9.80e+01,7.60e+01,1.00e+00,9.80e+01,9.23e-11,4.04e+01,-5.76e+01,0.00,0.00e+00,4.38e-12,0.00e+00,1.00e+00,14691,4.04e+01
50000,25000,2500000,8.94e-11,9.80e+01,0.00e+00,9.80e+01,37.30,9.80e+01,9.80e+01,7.46e+01,1.00e+00,9.80e+01,8.94e-11,3.97e+01,-5.83e+01,0.00,0.00e+00,5.11e-12,0.00e+00,1.00e+00,14984,3.97e+01
