episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,A2_share_0,time,reward_env_total
1000,500,50000,0.00e+00,0.00e+00,4.20e-01,4.20e-01,0.70,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,2.48e-01,2.48e-01,1.50,0.00e+00,0.00e+00,0.00e+00,3.00e-01,209,6.68e-01
2000,1000,100000,0.00e+00,0.00e+00,5.00e-01,5.00e-01,1.70,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,6.64e-01,6.64e-01,0.50,0.00e+00,0.00e+00,0.00e+00,2.00e-01,417,1.16e+00
3000,1500,150000,0.00e+00,0.00e+00,2.20e-01,2.20e-01,2.10,0.00e+00,0.00e+00,0.00e+00,2.60e-01,0.00e+00,0.00e+00,3.76e-01,3.76e-01,0.60,0.00e+00,0.00e+00,0.00e+00,2.60e-01,623,5.96e-01
4000,2000,200000,0.00e+00,0.00e+00,1.60e-01,1.60e-01,2.20,0.00e+00,0.00e+00,0.00e+00,3.60e-01,0.00e+00,0.00e+00,7.36e-01,7.36e-01,0.10,0.00e+00,0.00e+00,0.00e+00,3.60e-01,829,8.96e-01
5000,2500,250000,0.00e+00,0.00e+00,9.20e-01,9.20e-01,3.50,0.00e+00,0.00e+00,0.00e+00,4.40e-01,0.00e+00,0.00e+00,1.60e+00,1.60e+00,0.40,0.00e+00,0.00e+00,0.00e+00,4.40e-01,1028,2.52e+00
6000,3000,300000,0.00e+00,0.00e+00,5.00e-01,5.00e-01,2.30,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,9.72e-01,9.72e-01,0.50,0.00e+00,0.00e+00,0.00e+00,4.00e-01,1223,1.47e+00
7000,3500,350000,0.00e+00,0.00e+00,3.00e-01,3.00e-01,1.80,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,6.20e-01,6.20e-01,0.00,0.00e+00,0.00e+00,0.00e+00,2.00e-01,1418,9.20e-01
8000,4000,400000,0.00e+00,0.00e+00,3.20e-01,3.20e-01,2.70,0.00e+00,0.00e+00,0.00e+00,2.40e-01,0.00e+00,0.00e+00,8.40e-01,8.40e-01,0.70,0.00e+00,0.00e+00,0.00e+00,2.40e-01,1613,1.16e+00
9000,4500,450000,0.00e+00,0.00e+00,3.80e-01,3.80e-01,4.00,0.00e+00,0.00e+00,0.00e+00,5.00e-01,0.00e+00,0.00e+00,8.68e-01,8.68e-01,0.00,0.00e+00,0.00e+00,0.00e+00,5.00e-01,1808,1.25e+00
10000,5000,500000,0.00e+00,0.00e+00,3.80e-01,3.80e-01,4.50,0.00e+00,0.00e+00,0.00e+00,3.40e-01,0.00e+00,0.00e+00,1.67e+00,1.67e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.40e-01,2003,2.05e+00
11000,5500,550000,0.00e+00,0.00e+00,2.00e-01,2.00e-01,4.40,0.00e+00,0.00e+00,0.00e+00,1.80e-01,0.00e+00,0.00e+00,1.16e+00,1.16e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.80e-01,2198,1.36e+00
12000,6000,600000,0.00e+00,0.00e+00,5.20e-01,5.20e-01,3.80,0.00e+00,0.00e+00,0.00e+00,3.60e-01,0.00e+00,0.00e+00,1.26e+00,1.26e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.60e-01,2393,1.78e+00
13000,6500,650000,0.00e+00,0.00e+00,2.20e-01,2.20e-01,4.50,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,1.26e+00,1.26e+00,0.40,0.00e+00,0.00e+00,0.00e+00,3.00e-01,2588,1.48e+00
14000,7000,700000,0.00e+00,0.00e+00,6.80e-01,6.80e-01,5.40,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,2.03e+00,2.03e+00,0.10,0.00e+00,0.00e+00,0.00e+00,2.00e-01,2784,2.71e+00
15000,7500,750000,0.00e+00,0.00e+00,1.18e+00,1.18e+00,4.80,0.00e+00,0.00e+00,0.00e+00,3.20e-01,0.00e+00,0.00e+00,2.16e+00,2.16e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.20e-01,2979,3.34e+00
16000,8000,800000,0.00e+00,0.00e+00,8.20e-01,8.20e-01,6.50,0.00e+00,0.00e+00,0.00e+00,2.40e-01,0.00e+00,0.00e+00,2.59e+00,2.59e+00,0.20,0.00e+00,0.00e+00,0.00e+00,2.40e-01,3174,3.41e+00
17000,8500,850000,0.00e+00,0.00e+00,9.20e-01,9.20e-01,6.80,0.00e+00,0.00e+00,0.00e+00,2.20e-01,0.00e+00,0.00e+00,2.69e+00,2.69e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2.20e-01,3371,3.61e+00
18000,9000,900000,0.00e+00,0.00e+00,1.36e+00,1.36e+00,6.10,0.00e+00,0.00e+00,0.00e+00,5.00e-01,0.00e+00,0.00e+00,2.06e+00,2.06e+00,0.50,0.00e+00,0.00e+00,0.00e+00,5.00e-01,3582,3.42e+00
19000,9500,950000,0.00e+00,0.00e+00,1.14e+00,1.14e+00,7.10,0.00e+00,0.00e+00,0.00e+00,4.20e-01,0.00e+00,0.00e+00,2.43e+00,2.43e+00,0.00,0.00e+00,0.00e+00,0.00e+00,4.20e-01,3781,3.57e+00
20000,10000,1000000,0.00e+00,0.00e+00,5.40e-01,5.40e-01,7.90,0.00e+00,0.00e+00,0.00e+00,2.00e-01,0.00e+00,0.00e+00,2.15e+00,2.15e+00,0.20,0.00e+00,0.00e+00,0.00e+00,2.00e-01,3977,2.69e+00
21000,10500,1050000,0.00e+00,0.00e+00,9.20e-01,9.20e-01,6.10,0.00e+00,0.00e+00,0.00e+00,3.60e-01,0.00e+00,0.00e+00,1.78e+00,1.78e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.60e-01,4172,2.70e+00
22000,11000,1100000,0.00e+00,0.00e+00,7.40e-01,7.40e-01,11.50,0.00e+00,0.00e+00,0.00e+00,1.20e-01,0.00e+00,0.00e+00,4.58e+00,4.58e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.20e-01,4368,5.32e+00
23000,11500,1150000,0.00e+00,0.00e+00,1.06e+00,1.06e+00,7.70,0.00e+00,0.00e+00,0.00e+00,3.20e-01,0.00e+00,0.00e+00,3.04e+00,3.04e+00,0.20,0.00e+00,0.00e+00,0.00e+00,3.20e-01,4566,4.10e+00
24000,12000,1200000,0.00e+00,0.00e+00,7.20e-01,7.20e-01,12.00,0.00e+00,0.00e+00,0.00e+00,1.60e-01,0.00e+00,0.00e+00,3.24e+00,3.24e+00,0.00,0.00e+00,0.00e+00,0.00e+00,1.60e-01,4764,3.96e+00
25000,12500,1250000,0.00e+00,0.00e+00,1.22e+00,1.22e+00,11.60,0.00e+00,0.00e+00,0.00e+00,3.00e-01,0.00e+00,0.00e+00,4.38e+00,4.38e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.00e-01,4963,5.60e+00
26000,13000,1300000,0.00e+00,0.00e+00,1.46e+00,1.46e+00,9.90,0.00e+00,0.00e+00,0.00e+00,4.00e-01,0.00e+00,0.00e+00,3.70e+00,3.70e+00,0.00,0.00e+00,0.00e+00,0.00e+00,4.00e-01,5161,5.16e+00
27000,13500,1350000,0.00e+00,0.00e+00,1.86e+00,1.86e+00,10.70,0.00e+00,0.00e+00,0.00e+00,3.60e-01,0.00e+00,0.00e+00,4.24e+00,4.24e+00,0.00,0.00e+00,0.00e+00,0.00e+00,3.60e-01,5358,6.10e+00
28000,14000,1400000,0.00e+00,0.00e+00,6.00e-01,6.00e-01,6.10,0.00e+00,0.00e+00,0.00e+00,2.20e-01,0.00e+00,0.00e+00,2.40e+00,2.40e+00,0.00,0.00e+00,0.00e+00,0.00e+00,2.20e-01,5557,3.00e+00
