episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_share_0
100,100,8000,0.000e+00,0.000e+00,-1.492e+00,-1.492e+00,8.520e-01,0.000e+00,0.000e+00,-1.509e+00,-1.509e+00,8.520e-01
200,200,16000,0.000e+00,0.000e+00,-1.510e+00,-1.510e+00,8.712e-01,0.000e+00,0.000e+00,-1.500e+00,-1.500e+00,8.712e-01
300,300,24000,0.000e+00,0.000e+00,-1.491e+00,-1.491e+00,8.552e-01,0.000e+00,0.000e+00,-1.546e+00,-1.546e+00,8.552e-01
400,400,32000,0.000e+00,0.000e+00,-1.505e+00,-1.505e+00,8.492e-01,0.000e+00,0.000e+00,-1.562e+00,-1.562e+00,8.492e-01
500,500,40000,0.000e+00,0.000e+00,-1.512e+00,-1.512e+00,8.467e-01,0.000e+00,0.000e+00,-1.579e+00,-1.579e+00,8.467e-01
600,600,48000,0.000e+00,0.000e+00,-1.509e+00,-1.509e+00,8.410e-01,0.000e+00,0.000e+00,-1.604e+00,-1.604e+00,8.410e-01
700,700,56000,0.000e+00,0.000e+00,-1.536e+00,-1.536e+00,8.701e-01,0.000e+00,0.000e+00,-1.639e+00,-1.639e+00,8.701e-01
800,800,64000,0.000e+00,0.000e+00,-1.514e+00,-1.514e+00,8.398e-01,0.000e+00,0.000e+00,-1.692e+00,-1.692e+00,8.398e-01
900,900,72000,0.000e+00,0.000e+00,-1.572e+00,-1.572e+00,8.658e-01,0.000e+00,0.000e+00,-1.705e+00,-1.705e+00,8.658e-01
1000,1000,80000,0.000e+00,0.000e+00,-1.576e+00,-1.576e+00,8.443e-01,0.000e+00,0.000e+00,-1.773e+00,-1.773e+00,8.443e-01
1100,1100,88000,0.000e+00,0.000e+00,-1.627e+00,-1.627e+00,8.253e-01,0.000e+00,0.000e+00,-1.807e+00,-1.807e+00,8.253e-01
1200,1200,96000,0.000e+00,0.000e+00,-1.647e+00,-1.647e+00,8.334e-01,0.000e+00,0.000e+00,-1.850e+00,-1.850e+00,8.334e-01
1300,1300,104000,0.000e+00,0.000e+00,-1.689e+00,-1.689e+00,8.573e-01,0.000e+00,0.000e+00,-1.892e+00,-1.892e+00,8.573e-01
1400,1400,112000,0.000e+00,0.000e+00,-1.731e+00,-1.731e+00,8.571e-01,0.000e+00,0.000e+00,-1.929e+00,-1.929e+00,8.571e-01
1500,1500,120000,0.000e+00,0.000e+00,-1.764e+00,-1.764e+00,8.572e-01,0.000e+00,0.000e+00,-1.968e+00,-1.968e+00,8.572e-01
1600,1600,128000,0.000e+00,0.000e+00,-1.790e+00,-1.790e+00,8.796e-01,0.000e+00,0.000e+00,-2.000e+00,-2.000e+00,8.796e-01
1700,1700,136000,0.000e+00,0.000e+00,-1.848e+00,-1.848e+00,8.547e-01,0.000e+00,0.000e+00,-1.989e+00,-1.989e+00,8.547e-01
1800,1800,144000,0.000e+00,0.000e+00,-1.873e+00,-1.873e+00,8.651e-01,0.000e+00,0.000e+00,-1.990e+00,-1.990e+00,8.651e-01
1900,1900,152000,0.000e+00,0.000e+00,-1.915e+00,-1.915e+00,7.927e-01,0.000e+00,0.000e+00,-1.968e+00,-1.968e+00,7.927e-01
2000,2000,160000,0.000e+00,0.000e+00,-1.940e+00,-1.940e+00,7.675e-01,0.000e+00,0.000e+00,-1.963e+00,-1.963e+00,7.675e-01
2100,2100,168000,0.000e+00,0.000e+00,-1.939e+00,-1.939e+00,7.589e-01,0.000e+00,0.000e+00,-1.975e+00,-1.975e+00,7.589e-01
2200,2200,176000,0.000e+00,0.000e+00,-1.948e+00,-1.948e+00,7.219e-01,0.000e+00,0.000e+00,-1.972e+00,-1.972e+00,7.219e-01
2300,2300,184000,0.000e+00,0.000e+00,-1.946e+00,-1.946e+00,7.195e-01,0.000e+00,0.000e+00,-1.980e+00,-1.980e+00,7.195e-01
2400,2400,192000,0.000e+00,0.000e+00,-1.959e+00,-1.959e+00,7.131e-01,0.000e+00,0.000e+00,-1.981e+00,-1.981e+00,7.131e-01
2500,2500,200000,0.000e+00,0.000e+00,-1.970e+00,-1.970e+00,5.413e-01,0.000e+00,0.000e+00,-1.975e+00,-1.975e+00,5.413e-01
2600,2600,208000,0.000e+00,0.000e+00,-1.981e+00,-1.981e+00,3.735e-01,0.000e+00,0.000e+00,-1.970e+00,-1.970e+00,3.735e-01
2700,2700,216000,0.000e+00,0.000e+00,-1.980e+00,-1.980e+00,2.692e-01,0.000e+00,0.000e+00,-1.969e+00,-1.969e+00,2.692e-01
2800,2800,224000,0.000e+00,0.000e+00,-1.977e+00,-1.977e+00,3.097e-01,0.000e+00,0.000e+00,-1.951e+00,-1.951e+00,3.097e-01
2900,2900,232000,0.000e+00,0.000e+00,-1.941e+00,-1.941e+00,3.756e-01,0.000e+00,0.000e+00,-1.959e+00,-1.959e+00,3.756e-01
3000,3000,240000,0.000e+00,0.000e+00,-1.927e+00,-1.927e+00,3.752e-01,0.000e+00,0.000e+00,-1.944e+00,-1.944e+00,3.752e-01
3100,3100,248000,0.000e+00,0.000e+00,-1.880e+00,-1.880e+00,3.621e-01,0.000e+00,0.000e+00,-1.939e+00,-1.939e+00,3.621e-01
3200,3200,256000,0.000e+00,0.000e+00,-1.845e+00,-1.845e+00,3.760e-01,0.000e+00,0.000e+00,-1.908e+00,-1.908e+00,3.760e-01
3300,3300,264000,0.000e+00,0.000e+00,-1.799e+00,-1.799e+00,5.697e-01,0.000e+00,0.000e+00,-1.789e+00,-1.789e+00,5.697e-01
3400,3400,272000,0.000e+00,0.000e+00,-1.789e+00,-1.789e+00,5.578e-01,0.000e+00,0.000e+00,-1.786e+00,-1.786e+00,5.578e-01
3500,3500,280000,0.000e+00,0.000e+00,-1.776e+00,-1.776e+00,5.892e-01,0.000e+00,0.000e+00,-1.775e+00,-1.775e+00,5.892e-01
3600,3600,288000,0.000e+00,0.000e+00,-1.728e+00,-1.728e+00,5.167e-01,0.000e+00,0.000e+00,-1.747e+00,-1.747e+00,5.167e-01
3700,3700,296000,0.000e+00,0.000e+00,-1.652e+00,-1.652e+00,4.672e-01,0.000e+00,0.000e+00,-1.657e+00,-1.657e+00,4.672e-01
3800,3800,304000,0.000e+00,0.000e+00,-1.569e+00,-1.569e+00,2.919e-01,0.000e+00,0.000e+00,-1.171e+00,-1.171e+00,2.919e-01
3900,3900,312000,0.000e+00,0.000e+00,-1.193e+00,-1.193e+00,2.021e-01,0.000e+00,0.000e+00,-9.805e-01,-9.805e-01,2.021e-01
4000,4000,320000,0.000e+00,0.000e+00,-1.031e+00,-1.031e+00,1.593e-01,0.000e+00,0.000e+00,-1.005e+00,-1.005e+00,1.593e-01
4100,4100,328000,0.000e+00,0.000e+00,-1.019e+00,-1.019e+00,1.974e-01,0.000e+00,0.000e+00,-1.002e+00,-1.002e+00,1.974e-01
4200,4200,336000,0.000e+00,0.000e+00,-1.017e+00,-1.017e+00,3.209e-01,0.000e+00,0.000e+00,-1.007e+00,-1.007e+00,3.209e-01
4300,4300,344000,0.000e+00,0.000e+00,-1.009e+00,-1.009e+00,3.833e-01,0.000e+00,0.000e+00,-1.007e+00,-1.007e+00,3.833e-01
4400,4400,352000,0.000e+00,0.000e+00,-1.009e+00,-1.009e+00,3.497e-01,0.000e+00,0.000e+00,-1.005e+00,-1.005e+00,3.497e-01
4500,4500,360000,0.000e+00,0.000e+00,-1.005e+00,-1.005e+00,4.956e-01,0.000e+00,0.000e+00,-1.007e+00,-1.007e+00,4.956e-01
4600,4600,368000,0.000e+00,0.000e+00,-1.008e+00,-1.008e+00,4.638e-01,0.000e+00,0.000e+00,-1.008e+00,-1.008e+00,4.638e-01
4700,4700,376000,0.000e+00,0.000e+00,-1.008e+00,-1.008e+00,4.702e-01,0.000e+00,0.000e+00,-1.006e+00,-1.006e+00,4.702e-01
