episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_share_0,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_share_0
100,100,1000,0.000e+00,0.000e+00,-1.608e+00,-1.608e+00,1.000e+00,0.000e+00,0.000e+00,-1.476e+00,-1.476e+00,1.000e+00
200,200,2000,0.000e+00,0.000e+00,-1.488e+00,-1.488e+00,1.000e+00,0.000e+00,0.000e+00,-1.620e+00,-1.620e+00,1.000e+00
300,300,3000,0.000e+00,0.000e+00,-1.560e+00,-1.560e+00,1.000e+00,0.000e+00,0.000e+00,-1.524e+00,-1.524e+00,1.000e+00
400,400,4000,0.000e+00,0.000e+00,-1.584e+00,-1.584e+00,1.000e+00,0.000e+00,0.000e+00,-1.518e+00,-1.518e+00,1.000e+00
500,500,5000,0.000e+00,0.000e+00,-1.638e+00,-1.638e+00,1.000e+00,0.000e+00,0.000e+00,-1.476e+00,-1.476e+00,1.000e+00
600,600,6000,0.000e+00,0.000e+00,-1.589e+00,-1.589e+00,1.000e+00,0.000e+00,0.000e+00,-1.469e+00,-1.469e+00,1.000e+00
700,700,7000,0.000e+00,0.000e+00,-1.505e+00,-1.505e+00,1.000e+00,0.000e+00,0.000e+00,-1.607e+00,-1.607e+00,1.000e+00
800,800,8000,0.000e+00,0.000e+00,-1.573e+00,-1.573e+00,1.000e+00,0.000e+00,0.000e+00,-1.531e+00,-1.531e+00,1.000e+00
900,900,9000,0.000e+00,0.000e+00,-1.601e+00,-1.601e+00,1.000e+00,0.000e+00,0.000e+00,-1.499e+00,-1.499e+00,1.000e+00
1000,1000,10000,0.000e+00,0.000e+00,-1.633e+00,-1.633e+00,1.000e+00,0.000e+00,0.000e+00,-1.477e+00,-1.477e+00,1.000e+00
1100,1100,11000,0.000e+00,0.000e+00,-1.616e+00,-1.616e+00,1.000e+00,0.000e+00,0.000e+00,-1.496e+00,-1.496e+00,1.000e+00
1200,1200,12000,0.000e+00,0.000e+00,-1.571e+00,-1.571e+00,1.000e+00,0.000e+00,0.000e+00,-1.619e+00,-1.619e+00,1.000e+00
1300,1300,13000,0.000e+00,0.000e+00,-1.578e+00,-1.578e+00,1.000e+00,0.000e+00,0.000e+00,-1.638e+00,-1.638e+00,1.000e+00
1400,1400,14000,0.000e+00,0.000e+00,-1.658e+00,-1.658e+00,1.000e+00,0.000e+00,0.000e+00,-1.580e+00,-1.580e+00,1.000e+00
1500,1500,15000,0.000e+00,0.000e+00,-1.635e+00,-1.635e+00,1.000e+00,0.000e+00,0.000e+00,-1.629e+00,-1.629e+00,1.000e+00
1600,1600,16000,0.000e+00,0.000e+00,-1.674e+00,-1.674e+00,1.000e+00,0.000e+00,0.000e+00,-1.596e+00,-1.596e+00,1.000e+00
1700,1700,17000,0.000e+00,0.000e+00,-1.676e+00,-1.676e+00,1.000e+00,0.000e+00,0.000e+00,-1.586e+00,-1.586e+00,1.000e+00
1800,1800,18000,0.000e+00,0.000e+00,-1.662e+00,-1.662e+00,1.000e+00,0.000e+00,0.000e+00,-1.674e+00,-1.674e+00,1.000e+00
1900,1900,19000,0.000e+00,0.000e+00,-1.789e+00,-1.789e+00,1.000e+00,0.000e+00,0.000e+00,-1.591e+00,-1.591e+00,1.000e+00
2000,2000,20000,0.000e+00,0.000e+00,-1.729e+00,-1.729e+00,1.000e+00,0.000e+00,0.000e+00,-1.705e+00,-1.705e+00,1.000e+00
2100,2100,21000,0.000e+00,0.000e+00,-1.716e+00,-1.716e+00,1.000e+00,0.000e+00,0.000e+00,-1.722e+00,-1.722e+00,1.000e+00
2200,2200,22000,0.000e+00,0.000e+00,-1.827e+00,-1.827e+00,1.000e+00,0.000e+00,0.000e+00,-1.671e+00,-1.671e+00,1.000e+00
2300,2300,23000,0.000e+00,0.000e+00,-1.926e+00,-1.926e+00,1.000e+00,0.000e+00,0.000e+00,-1.638e+00,-1.638e+00,1.000e+00
2400,2400,24000,0.000e+00,0.000e+00,-1.848e+00,-1.848e+00,1.000e+00,0.000e+00,0.000e+00,-1.710e+00,-1.710e+00,1.000e+00
2500,2500,25000,0.000e+00,0.000e+00,-1.947e+00,-1.947e+00,1.000e+00,0.000e+00,0.000e+00,-1.755e+00,-1.755e+00,1.000e+00
2600,2600,26000,0.000e+00,0.000e+00,-1.891e+00,-1.891e+00,1.000e+00,0.000e+00,0.000e+00,-1.819e+00,-1.819e+00,1.000e+00
2700,2700,27000,0.000e+00,0.000e+00,-1.944e+00,-1.944e+00,1.000e+00,0.000e+00,0.000e+00,-1.812e+00,-1.812e+00,1.000e+00
2800,2800,28000,0.000e+00,0.000e+00,-1.931e+00,-1.931e+00,1.000e+00,0.000e+00,0.000e+00,-1.799e+00,-1.799e+00,1.000e+00
2900,2900,29000,0.000e+00,0.000e+00,-1.933e+00,-1.933e+00,1.000e+00,0.000e+00,0.000e+00,-1.873e+00,-1.873e+00,1.000e+00
3000,3000,30000,0.000e+00,0.000e+00,-1.969e+00,-1.969e+00,1.000e+00,0.000e+00,0.000e+00,-1.897e+00,-1.897e+00,1.000e+00
3100,3100,31000,0.000e+00,0.000e+00,-1.940e+00,-1.940e+00,1.000e+00,0.000e+00,0.000e+00,-1.916e+00,-1.916e+00,1.000e+00
3200,3200,32000,0.000e+00,0.000e+00,-1.950e+00,-1.950e+00,1.000e+00,0.000e+00,0.000e+00,-1.908e+00,-1.908e+00,1.000e+00
3300,3300,33000,0.000e+00,0.000e+00,-1.990e+00,-1.990e+00,1.000e+00,0.000e+00,0.000e+00,-1.882e+00,-1.882e+00,1.000e+00
3400,3400,34000,0.000e+00,0.000e+00,-1.981e+00,-1.981e+00,1.000e+00,0.000e+00,0.000e+00,-1.921e+00,-1.921e+00,1.000e+00
