episode,step_train,step,A1_reward_env,A1_share,A2_reward_env,A2_share
1000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
2000,0,0,-5.000e-01,1.000e+00,-2.000e+00,1.000e+00
3000,0,0,-6.667e-01,1.000e+00,-2.167e+00,1.000e+00
4000,0,0,-1.000e+00,1.000e+00,-2.500e+00,1.000e+00
5000,0,0,-1.000e+00,1.000e+00,-2.000e+00,1.000e+00
6000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
7000,0,0,-1.500e+00,1.000e+00,-1.500e+00,1.000e+00
8000,0,0,-2.000e+00,1.000e+00,-2.000e+00,1.000e+00
9000,0,0,-1.000e+00,1.000e+00,-2.000e+00,1.000e+00
10000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
11000,0,0,-2.500e+00,1.000e+00,-1.000e+00,1.000e+00
12000,0,0,-1.667e-01,1.000e+00,-2.667e+00,1.000e+00
13000,0,0,-2.000e+00,1.000e+00,-1.000e+00,1.000e+00
14000,0,0,-3.333e-01,1.000e+00,-2.833e+00,1.000e+00
15000,0,0,-2.333e+00,1.000e+00,-8.333e-01,1.000e+00
16000,0,0,-1.500e+00,1.000e+00,-2.000e+00,1.000e+00
17000,0,0,-1.000e+00,1.000e+00,-1.500e+00,1.000e+00
18000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
19000,0,0,-2.000e+00,1.000e+00,-2.000e+00,1.000e+00
20000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
21000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
22000,0,0,-2.500e+00,1.000e+00,-1.000e+00,1.000e+00
23000,0,0,-1.667e+00,1.000e+00,-2.167e+00,1.000e+00
24000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
25000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
26000,0,0,-1.167e+00,1.000e+00,-2.167e+00,1.000e+00
27000,0,0,-1.833e+00,1.000e+00,-1.833e+00,1.000e+00
28000,0,0,-8.333e-01,1.000e+00,-1.333e+00,1.000e+00
29000,0,0,-2.000e+00,1.000e+00,-2.000e+00,1.000e+00
30000,0,0,-2.000e+00,1.000e+00,-2.000e+00,1.000e+00
31000,0,0,-1.000e+00,1.000e+00,-2.500e+00,1.000e+00
32000,0,0,-1.000e+00,1.000e+00,-2.000e+00,1.000e+00
33000,0,0,-2.000e+00,1.000e+00,-1.500e+00,1.000e+00
34000,0,0,-5.000e-01,1.000e+00,-2.000e+00,1.000e+00
35000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
36000,0,0,-2.000e+00,1.000e+00,-2.000e+00,1.000e+00
37000,0,0,-2.000e+00,1.000e+00,-2.000e+00,1.000e+00
38000,0,0,-1.833e+00,1.000e+00,-1.833e+00,1.000e+00
39000,0,0,-1.000e+00,1.000e+00,-1.500e+00,1.000e+00
40000,0,0,-2.333e+00,1.000e+00,-8.333e-01,1.000e+00
41000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
42000,0,0,-1.667e+00,1.000e+00,-1.667e+00,1.000e+00
43000,0,0,-2.000e+00,1.000e+00,-2.000e+00,1.000e+00
44000,0,0,-1.833e+00,1.000e+00,-1.833e+00,1.000e+00
45000,0,0,-1.000e+00,1.000e+00,-1.000e+00,1.000e+00
46000,0,0,-2.000e+00,1.000e+00,-2.000e+00,1.000e+00
